Line #,Name,Description,Designator,Revision ID,Revision Status,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1
"","Resistor 0R +/- 5% 1206 250 mW","Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)","R1","CMP-009-00002-5","Up to date","Yageo","RC1206JR-070RL","Volume Production","Farnell","9240276","0.01533","0.42936"
"","Resistor 0R +/- 5% 1206 250 mW","Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)","R2","CMP-009-00002-5","Up to date","Yageo","RC1206JR-070RL","Volume Production","Farnell","9240276","0.01533","0.42936"
"","Resistor 0R +/- 5% 1206 250 mW","Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)","R3","CMP-009-00002-5","Up to date","Yageo","RC1206JR-070RL","Volume Production","Farnell","9240276","0.01533","0.42936"
"","Resistor 0R +/- 5% 1206 250 mW","Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)","R4","CMP-009-00002-5","Up to date","Yageo","RC1206JR-070RL","Volume Production","Farnell","9240276","0.01533","0.42936"
"","Resistor 0R +/- 5% 1206 250 mW","Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)","R5","CMP-009-00002-5","Up to date","Yageo","RC1206JR-070RL","Volume Production","Farnell","9240276","0.01533","0.42936"
"","ERJ-2RKF1910X","","R6","CMP-1011-00427-2","Up to date","Panasonic","ERJ-2RKF1910X","Volume Production","Avnet","53W4258","0.004","0.004"
"","CPF0402B187RE1","","R7","CMP-2002-03161-1","Up to date","TE Connectivity","CPF0402B187RE1","Volume Production","Mouser","279-CPF0402B187RE1","0.29","0.29"
"","Resistor 4k7 +/-1% 0402 100 mW","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric)","R8","CMP-009-00030-5","Up to date","Panasonic","ERJ-2RKF4701X","Volume Production","Mouser","667-ERJ-2RKF4701X","0.023","0.23"
"","Resistor 4k7 +/-1% 0402 100 mW","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric)","R9","CMP-009-00030-5","Up to date","Panasonic","ERJ-2RKF4701X","Volume Production","Mouser","667-ERJ-2RKF4701X","0.023","0.23"
"","Resistor 1k +/-1% 0402 100 mW","Chip Resistor, 1 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric)","R10","CMP-009-00009-5","Up to date","Panasonic","ERJ-2RKF1001X","Volume Production","Newark","85Y8051","0.1","0.1"
"","Resistor 4k7 +/-1% 0402 100 mW","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric)","R11","CMP-009-00030-5","Up to date","Panasonic","ERJ-2RKF4701X","Volume Production","Mouser","667-ERJ-2RKF4701X","0.023","0.23"
"","RC0402FR-0710KL","","R12","CMP-2002-07353-1","Up to date","Yageo","RC0402FR-0710KL","Volume Production","","","",""
"","Resistor 4k7 +/-1% 0402 100 mW","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric)","R13","CMP-009-00030-5","Up to date","Panasonic","ERJ-2RKF4701X","Volume Production","Mouser","667-ERJ-2RKF4701X","0.023","0.23"
"","RC0402FR-0710KL","","R14","CMP-2002-07353-1","Up to date","Yageo","RC0402FR-0710KL","Volume Production","","","",""
"","RC0402FR-0710KL","","R15","CMP-2002-07353-1","Up to date","Yageo","RC0402FR-0710KL","Volume Production","","","",""
"","RC0402FR-0710KL","","R16","CMP-2002-07353-1","Up to date","Yageo","RC0402FR-0710KL","Volume Production","","","",""
"","Resistor 4k7 +/-1% 0402 100 mW","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric)","R17","CMP-009-00030-5","Up to date","Panasonic","ERJ-2RKF4701X","Volume Production","Mouser","667-ERJ-2RKF4701X","0.023","0.23"
"","Resistor 4k7 +/-1% 0402 100 mW","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric)","R18","CMP-009-00030-5","Up to date","Panasonic","ERJ-2RKF4701X","Volume Production","Mouser","667-ERJ-2RKF4701X","0.023","0.23"
"","Resistor 100K +/-1 % 0402 63 mW","Chip Resistor, 100 kOhms, +/-1 %, 63 mW, -55 to 155 degC, 0402","R19","CMP-009-00168-3","Up to date","Bourns","CR0402-FX-1003GLF","Volume Production","Newark","79AK8869","0.002","0.008"
"","Resistor 100K +/-1 % 0402 63 mW","Chip Resistor, 100 kOhms, +/-1 %, 63 mW, -55 to 155 degC, 0402","R20","CMP-009-00168-3","Up to date","Bourns","CR0402-FX-1003GLF","Volume Production","Newark","79AK8869","0.002","0.008"
"","Resistor 0R 0402 63 mW","Chip Resistor, 0 Ohm, 0.063 W, -55 to 155 degC, 0402 (1005 Metric)","R21","CMP-009-00004-5","Up to date","Yageo","RC0402JR-070RL","Volume Production","Newark","98K7493","0.003","0.03"
"","Resistor 0R 0402 63 mW","Chip Resistor, 0 Ohm, 0.063 W, -55 to 155 degC, 0402 (1005 Metric)","R22","CMP-009-00004-5","Up to date","Yageo","RC0402JR-070RL","Volume Production","Newark","98K7493","0.003","0.03"
"","Resistor 0R 0402 63 mW","Chip Resistor, 0 Ohm, 0.063 W, -55 to 155 degC, 0402 (1005 Metric)","R23","CMP-009-00004-5","Up to date","Yageo","RC0402JR-070RL","Volume Production","Newark","98K7493","0.003","0.03"
"","Resistor 10k +/-1% 0402 100 mW","Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric)","R24","CMP-009-00015-5","Up to date","Panasonic","ERJ-2RKF1002X","Volume Production","Newark","64R5248","0.1","0.1"
"","Resistor 100K +/-1 % 0402 63 mW","Chip Resistor, 100 kOhms, +/-1 %, 63 mW, -55 to 155 degC, 0402","R25","CMP-009-00168-3","Up to date","Bourns","CR0402-FX-1003GLF","Volume Production","Newark","79AK8869","0.002","0.008"
"","Resistor 100K +/-1 % 0402 63 mW","Chip Resistor, 100 kOhms, +/-1 %, 63 mW, -55 to 155 degC, 0402","R26","CMP-009-00168-3","Up to date","Bourns","CR0402-FX-1003GLF","Volume Production","Newark","79AK8869","0.002","0.008"
"","Resistor 0R +/- 5% 1206 250 mW","Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)","R27","CMP-009-00002-5","Up to date","Yageo","RC1206JR-070RL","Volume Production","Farnell","9240276","0.01533","0.42936"
"","Resistor 0R +/- 5% 1206 250 mW","Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)","R28","CMP-009-00002-5","Up to date","Yageo","RC1206JR-070RL","Volume Production","Farnell","9240276","0.01533","0.42936"
"","Resistor 0R +/- 5% 1206 250 mW","Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)","R29","CMP-009-00002-5","Up to date","Yageo","RC1206JR-070RL","Volume Production","Farnell","9240276","0.01533","0.42936"
"","Resistor 0R +/- 5% 1206 250 mW","Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)","R30","CMP-009-00002-5","Up to date","Yageo","RC1206JR-070RL","Volume Production","Farnell","9240276","0.01533","0.42936"
"","Resistor 0R +/- 5% 1206 250 mW","Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)","R31","CMP-009-00002-5","Up to date","Yageo","RC1206JR-070RL","Volume Production","Farnell","9240276","0.01533","0.42936"
"","Resistor 0R +/- 5% 1206 250 mW","Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)","R32","CMP-009-00002-5","Up to date","Yageo","RC1206JR-070RL","Volume Production","Farnell","9240276","0.01533","0.42936"
"","Resistor 0R +/- 5% 1206 250 mW","Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)","R33","CMP-009-00002-5","Up to date","Yageo","RC1206JR-070RL","Volume Production","Farnell","9240276","0.01533","0.42936"
"","Resistor 0R +/- 5% 1206 250 mW","Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)","R34","CMP-009-00002-5","Up to date","Yageo","RC1206JR-070RL","Volume Production","Farnell","9240276","0.01533","0.42936"
"","Resistor 0R +/- 5% 1206 250 mW","Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)","R35","CMP-009-00002-5","Up to date","Yageo","RC1206JR-070RL","Volume Production","Farnell","9240276","0.01533","0.42936"
"","RC0603FR-07220RL","General Purpose Chip Resistors, 220 Ohm, +/- 1%, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel","R36","CMP-1659-00018-2","Up to date","Yageo","RC0603FR-07220RL","Volume Production","Mouser","603-RC0603FR-07220RL","0.009","0.09"
"","Resistor 0R +/- 5% 1206 250 mW","Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)","R37","CMP-009-00002-5","Up to date","Yageo","RC1206JR-070RL","Volume Production","Farnell","9240276","0.01533","0.42936"
"","Resistor 0R +/- 5% 1206 250 mW","Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)","R38","CMP-009-00002-5","Up to date","Yageo","RC1206JR-070RL","Volume Production","Farnell","9240276","0.01533","0.42936"
"","RC0603FR-07220RL","General Purpose Chip Resistors, 220 Ohm, +/- 1%, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel","R39","CMP-1659-00018-2","Up to date","Yageo","RC0603FR-07220RL","Volume Production","Mouser","603-RC0603FR-07220RL","0.009","0.09"
"","RC0603FR-07220RL","General Purpose Chip Resistors, 220 Ohm, +/- 1%, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel","R40","CMP-1659-00018-2","Up to date","Yageo","RC0603FR-07220RL","Volume Production","Mouser","603-RC0603FR-07220RL","0.009","0.09"
"","RC0603FR-07220RL","General Purpose Chip Resistors, 220 Ohm, +/- 1%, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel","R41","CMP-1659-00018-2","Up to date","Yageo","RC0603FR-07220RL","Volume Production","Mouser","603-RC0603FR-07220RL","0.009","0.09"
"","RC0603FR-07220RL","General Purpose Chip Resistors, 220 Ohm, +/- 1%, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel","R42","CMP-1659-00018-2","Up to date","Yageo","RC0603FR-07220RL","Volume Production","Mouser","603-RC0603FR-07220RL","0.009","0.09"
"","Resistor 0R +/- 5% 1206 250 mW","Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)","R43","CMP-009-00002-5","Up to date","Yageo","RC1206JR-070RL","Volume Production","Farnell","9240276","0.01533","0.42936"
"","Resistor 0R +/- 5% 1206 250 mW","Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)","R44","CMP-009-00002-5","Up to date","Yageo","RC1206JR-070RL","Volume Production","Farnell","9240276","0.01533","0.42936"
"","RC0603FR-07220RL","General Purpose Chip Resistors, 220 Ohm, +/- 1%, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel","R45","CMP-1659-00018-2","Up to date","Yageo","RC0603FR-07220RL","Volume Production","Mouser","603-RC0603FR-07220RL","0.009","0.09"
"","Resistor 0R +/- 5% 1206 250 mW","Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)","R46","CMP-009-00002-5","Up to date","Yageo","RC1206JR-070RL","Volume Production","Farnell","9240276","0.01533","0.42936"
"","Resistor 0R +/- 5% 1206 250 mW","Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)","R47","CMP-009-00002-5","Up to date","Yageo","RC1206JR-070RL","Volume Production","Farnell","9240276","0.01533","0.42936"
"","Resistor 0R +/- 5% 1206 250 mW","Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)","R48","CMP-009-00002-5","Up to date","Yageo","RC1206JR-070RL","Volume Production","Farnell","9240276","0.01533","0.42936"
"","Resistor 0R +/- 5% 1206 250 mW","Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)","R49","CMP-009-00002-5","Up to date","Yageo","RC1206JR-070RL","Volume Production","Farnell","9240276","0.01533","0.42936"
"","Resistor 0R 0402 63 mW","Chip Resistor, 0 Ohm, 0.063 W, -55 to 155 degC, 0402 (1005 Metric)","R50","CMP-009-00004-5","Up to date","Yageo","RC0402JR-070RL","Volume Production","Newark","98K7493","0.003","0.03"
"","Resistor 0R +/- 5% 1206 250 mW","Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)","R51","CMP-009-00002-5","Up to date","Yageo","RC1206JR-070RL","Volume Production","Farnell","9240276","0.01533","0.42936"
"","Resistor 0R +/- 5% 1206 250 mW","Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)","R52","CMP-009-00002-5","Up to date","Yageo","RC1206JR-070RL","Volume Production","Farnell","9240276","0.01533","0.42936"
"","Resistor 0R 0402 63 mW","Chip Resistor, 0 Ohm, 0.063 W, -55 to 155 degC, 0402 (1005 Metric)","R53","CMP-009-00004-5","Up to date","Yageo","RC0402JR-070RL","Volume Production","Newark","98K7493","0.003","0.03"
"","Resistor 0R +/- 5% 1206 250 mW","Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)","R54","CMP-009-00002-5","Up to date","Yageo","RC1206JR-070RL","Volume Production","Farnell","9240276","0.01533","0.42936"
"","Resistor 0R +/- 5% 1206 250 mW","Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)","R55","CMP-009-00002-5","Up to date","Yageo","RC1206JR-070RL","Volume Production","Farnell","9240276","0.01533","0.42936"
"","Resistor 0R +/- 5% 1206 250 mW","Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)","R56","CMP-009-00002-5","Up to date","Yageo","RC1206JR-070RL","Volume Production","Farnell","9240276","0.01533","0.42936"
"","Resistor 0R +/- 5% 1206 250 mW","Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)","R57","CMP-009-00002-5","Up to date","Yageo","RC1206JR-070RL","Volume Production","Farnell","9240276","0.01533","0.42936"
"","Resistor 1k +/-1% 0603 100 mW","Chip Resistor, 1 KOhm, +/-1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)","R58","CMP-009-00014-5","Up to date","Yageo","RC0603FR-071KL","Volume Production","Mouser","603-RC0603FR-071KL","0.009","0.09"
"","Resistor 1k +/-1% 0603 100 mW","Chip Resistor, 1 KOhm, +/-1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)","R59","CMP-009-00014-5","Up to date","Yageo","RC0603FR-071KL","Volume Production","Mouser","603-RC0603FR-071KL","0.009","0.09"
"","Resistor 1k +/-1% 0603 100 mW","Chip Resistor, 1 KOhm, +/-1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)","R60","CMP-009-00014-5","Up to date","Yageo","RC0603FR-071KL","Volume Production","Mouser","603-RC0603FR-071KL","0.009","0.09"
"","Resistor 1k +/-1% 0603 100 mW","Chip Resistor, 1 KOhm, +/-1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)","R61","CMP-009-00014-5","Up to date","Yageo","RC0603FR-071KL","Volume Production","Mouser","603-RC0603FR-071KL","0.009","0.09"
"","Resistor 1k +/-1% 0603 100 mW","Chip Resistor, 1 KOhm, +/-1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)","R62","CMP-009-00014-5","Up to date","Yageo","RC0603FR-071KL","Volume Production","Mouser","603-RC0603FR-071KL","0.009","0.09"
"","Resistor 1k +/-1% 0603 100 mW","Chip Resistor, 1 KOhm, +/-1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)","R63","CMP-009-00014-5","Up to date","Yageo","RC0603FR-071KL","Volume Production","Mouser","603-RC0603FR-071KL","0.009","0.09"
"","Resistor 1k +/-1% 0603 100 mW","Chip Resistor, 1 KOhm, +/-1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)","R64","CMP-009-00014-5","Up to date","Yageo","RC0603FR-071KL","Volume Production","Mouser","603-RC0603FR-071KL","0.009","0.09"
"","Resistor 0R 0402 63 mW","Chip Resistor, 0 Ohm, 0.063 W, -55 to 155 degC, 0402 (1005 Metric)","R65","CMP-009-00004-5","Up to date","Yageo","RC0402JR-070RL","Volume Production","Newark","98K7493","0.003","0.03"
"","RC0402JR-070RL","","R66","CMP-1011-00001-2","Up to date","Panasonic","ERJ-2GE0R00X","Volume Production","Newark","63W0591","0.004","0.02"
"","RC0402JR-070RL","","R67","CMP-1011-00001-2","Up to date","Panasonic","ERJ-2GE0R00X","Volume Production","Newark","63W0591","0.004","0.02"
"","RC0402JR-070RL","","R68","CMP-1011-00001-2","Up to date","Panasonic","ERJ-2GE0R00X","Volume Production","Newark","63W0591","0.004","0.02"
"","RC0402JR-070RL","","R69","CMP-1011-00001-2","Up to date","Panasonic","ERJ-2GE0R00X","Volume Production","Newark","63W0591","0.004","0.02"
"","ERJ-2RKF1001X","Chip Resistor, 1 KOhm, +/- 1%, 100 mW, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel","R70","CMP-1011-00510-4","Up to date","Vishay Dale","CRCW04021K00FKEE","Volume Production","Newark","67AK7832","0.003","0.012"
"","CRCW040250K0FKED","RES Thick Film, 50kO, 1%, 0.063W, 100ppm/°C, 0402","R71","CMP-02407-005152-1","Up to date","Vishay Dale","CRCW040250K0FKED","Volume Production","Digikey","541-CRCW040250K0FKEDCT-ND","0.1","0.1"
"","ERJ-2RKF4701X","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel","R72","CMP-2002-01154-4","Up to date","Panasonic","ERJ-2RKF4701X","Volume Production","Newark","85Y8344","0.098","0.196"
"","RC0402FR-0747KL","","R73","CMP-2002-07701-1","Up to date","Yageo","RC0402FR-0747KL","Volume Production","Mouser","603-RC0402FR-0747KL","0.008","0.08"
"","ERJ-2RKF1001X","Chip Resistor, 1 KOhm, +/- 1%, 100 mW, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel","R74","CMP-1011-00510-4","Up to date","Vishay Dale","CRCW04021K00FKEE","Volume Production","Newark","67AK7832","0.003","0.012"
"","ERJ-2RKF10R0X","RES SMD 10 OHM 1% 1/10W 0402","R75","CMP-2002-00622-4","Up to date","Panasonic","ERJ-2RKF10R0X","Volume Production","Newark","64R5245","0.098","0.098"
"","RC0402JR-070RL","","R76","CMP-1011-00001-2","Up to date","Panasonic","ERJ-2GE0R00X","Volume Production","Newark","63W0591","0.004","0.02"
"","ERJ-2RKF1001X","Chip Resistor, 1 KOhm, +/- 1%, 100 mW, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel","R77","CMP-1011-00510-4","Up to date","Vishay Dale","CRCW04021K00FKEE","Volume Production","Newark","67AK7832","0.003","0.012"
"","ERJ-2RKF1001X","Chip Resistor, 1 KOhm, +/- 1%, 100 mW, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel","R78","CMP-1011-00510-4","Up to date","Vishay Dale","CRCW04021K00FKEE","Volume Production","Newark","67AK7832","0.003","0.012"
"","ERJ2RKF1002X","Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel","R79","CMP-2000-07588-1","Up to date","Panasonic","ERJ-2RKF1002X","Volume Production","Newark","64R5248","0.1","0.1"
"","RC0402FR-072K2L","","R80","CMP-2002-07567-1","Up to date","Yageo","RC0402FR-072K2L","Volume Production","Newark","98K7523","0.009","0.09"
"","ERJ-2RKF4701X","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel","R81","CMP-2002-01154-4","Up to date","Panasonic","ERJ-2RKF4701X","Volume Production","Newark","85Y8344","0.098","0.196"
"","RC0402FR-0747KL","","R82","CMP-2002-07701-1","Up to date","Yageo","RC0402FR-0747KL","Volume Production","Mouser","603-RC0402FR-0747KL","0.008","0.08"
"","CRCW04022R20FKED","RES Thick Film, 2.2O, 1%, 0.063W, 100ppm/°C, 0402","R83","CMP-1011-00207-2","Up to date","Vishay","CRCW04022R20FKED","Volume Production","Newark","16P3569","0.018","0.018"
"","505020-0692","6 Position Card Connector Micro SIM Surface Mount, Right Angle Gold","SIM1","","","","","","","","",""
"","CS12ANW03","SWITCH SLIDE SPDT 3A 125V","SW1","CMP-31746-000002-1","Up to date","NKK Switches","CS12ANW03","Volume Production","Future Electronics","7043235","2.17","2.17"
"","Test Point","TEST POINT PC MINI .040""D RED","TP1","","","","","","","","",""
"","Test Point","TEST POINT PC MINI .040""D RED","TP2","","","","","","","","",""
"","Test Point","TEST POINT PC MINI .040""D RED","TP3","","","","","","","","",""
"","Test Point","TEST POINT PC MINI .040""D RED","TP4","","","","","","","","",""
"","Test Point","TEST POINT PC MINI .040""D RED","TP5","","","","","","","","",""
"","Test Point","TEST POINT PC MINI .040""D RED","TP6","","","","","","","","",""
"","Test Point","TEST POINT PC MINI .040""D RED","TP7","","","","","","","","",""
"","Test Point","TEST POINT PC MINI .040""D RED","TP8","","","","","","","","",""
"","Test Point","TEST POINT PC MINI .040""D RED","TP9","","","","","","","","",""
"","Test Point","TEST POINT PC MINI .040""D RED","TP10","","","","","","","","",""
"","Test Point","TEST POINT PC MINI .040""D RED","TP11","","","","","","","","",""
"","TP4056","Complete single cell Li-Ion battery with a constant current / constant voltage linear charger","U1","","","mikroElektronika","MIKROE-4449","Unknown","Mouser","932-MIKROE-4449","20","20"
"","ams1117-3.3v","1A LOW DROPOUT VOLTAGE REGULATOR, SOT-223","U2","","","Shenzhen Fuman Elec","AMS1117-3.3V","Unknown","","","",""
"","RASPBERRY_PI_PICO_W","Raspberry Pi Board, Arm Cortex-M0+; Silicon Manufacturer:Raspberry Pi; No. Of Bits:32Bit; Silicon Family Name:-; Core Architecture:Arm; Core Sub-Architecture:Cortex-M0+; Silicon Core Number:Rp2040; Product Range:Raspberry Pi Pico Rohs Compliant: Yes |Raspberry-Pi RASPBERRY PI PICO W","U3","","","","","","","","",""
"","DS3231M+","Real Time Clock _RTC_ IC Clock/Calendar IÂ²C, 2-Wire Serial 8-SOIC _0.154, 3.90mm Width_","U4","","","Maxim","DS3231M+","Volume Production","Heisener","DS3231M+","9.19","9.19"
"","TLL_TO_RS-485","5V MAX485 TTL To RS485 Converter Module Board for Arduino","U5","","","","","","","","",""
"","A7672S","LTE Cat 1 Module On Module 10Mbps 700MHz/800MHz/900MHz/1700MHz/1800MHz/1900MHz/2100MHz 33dBm 3.4V to 4.2V -109dBm","U6","","","Simcom","A7672SAS2-109ZZ","Unknown","","","",""
"","W25Q32JVSSIQ","FLASH - NOR Memory IC 32Mb (4M x 8) SPI - Quad I/O 133 MHz 8-SOIC","U7","","","Winbond","W25Q32JVSSIQ","Volume Production","Digikey","W25Q32JVSSIQ-ND","0.69","0.69"
"","EVQ-PE104K","Switch Tactile N.O. SPST Rectangular Button J-Bend 0.05A 12VDC 1N SMD T/R","X1","","","Panasonic","EVQ-PE104K","Volume Production","Newark","83T2745","0.344","0.688"
"","EVQ-PE104K","Switch Tactile N.O. SPST Rectangular Button J-Bend 0.05A 12VDC 1N SMD T/R","X2","","","Panasonic","EVQ-PE104K","Volume Production","Newark","83T2745","0.344","0.688"
